1037,38,Joli tambour C'était Anne de Bretagne / [enregistrement sonore] ; [interprété par] Albert Marier,"Marier, Albert, 1895-1971","1942,1929","1 disque : analogique, 78 r/min ; 18 cm",http://collections.banq.qc.ca/bitstream/52327/1037/1/499046a.m4a
1038,39,La jolie aventure  [enregistrement sonore] / Christiné ; [interprété par] Hector Pellerin. La jolie loucheuse / Benech-Desmoulins ; [interprété par] Hector Pellerin,"Pellerin, Hector, 1887-1953",1919,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1038/1/494546a.m4a
1039,40,"Les jolis yeux de Suzon Chantez, chantez, grand'mère / Gabaroche ; [interprété par] Mde. Armand Duprat [enregistrement sonore] / A. Larrieu ; [interprété par] Armand Duprat.","Duprat, Armand",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1039/1/502360.m4a
1040,41,Jonas dans la baleine  [enregistrement sonore] / [interprété par] Conrad Gauthier et choeur avec piano. On est Canayen ou ben on n'l'est pas / [interprété par] Conrad Gauthier,"Gauthier, Conrad, 1885-1964",1930,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1040/1/498361a.m4a
1041,42,"Jonas dans la baleine En pli, en plein / [enregistrement sonore] ; [interprété par] Ovila Légaré, baryton","Légaré, Ovila, 1901-1978",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1041/1/498660.m4a
1042,43,"Joséphine Va vite, ma vieille / [enregistrement sonore] ; [interprété par] Eugène Daignault","Daignault, Eugène, 1895-1960",1927,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1042/1/498415a.m4a
1043,44,"Jouannine parodie sur ""Jeannine"" / [enregistrement sonore] : Tremblay-Wayne ; [interprété par] Mde J.R. Tremblay. Whing hein / J.R. Tremblay ; [interprété par] Mons. & Mde J.R. Tremblay","Tremblay, J.R., Mme, 1885-1970",1929,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1043/1/503344.m4a
1044,45,Le Jour de l'an Le bas de Noël / [enregistrement sonore] ; Mde Ed. Bolduc ; [interprété par] Mde Ed. Bolduc,"Bolduc, Édouard, Mme, 1894-1941",1930,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1044/1/503160.m4a
1045,46,Le Jour de l'an New year's day / [enregistrement sonore] = [interprété par] Conrad Gauthier. Autrefois = Other days / [interprété par] Conrad Gauthier et Béatrice Lapierre-Latour,"Gauthier, Conrad, 1885-1964",1930,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1045/1/498355a.m4a
1046,47,"Les joyeuses Québécoises reel / [enregistrement sonore] : F. Malouin ; [interprété par] Joe Bouchard, violon avec piano. Galop de La Malbaie / [interprété par] Joe Bouchard, violon avec piano","Bouchard, Jos, 1905-1979","1948,1938","1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1046/1/501325a.m4a
1047,48,Le jupon d'Angèle  [enregistrement sonore] / R. Beaudry ; [interprété par] Eugène Daignault. Pingo-Gobino / [interprété par] Eugène Daignault,"Daignault, Eugène, 1895-1960",1930,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1047/1/498617.m4a
